epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,0.027332592499806196,0.027332604,0.0016756167999119498,0.0016756166
1,0.00028812249529437396,0.0002881224,7.829174655853422e-05,7.8291756e-05
2,7.567968498278788e-05,7.567966e-05,7.347539340116783e-05,7.347539e-05
3,7.090716526363394e-05,7.090716e-05,6.869243807159365e-05,6.869243e-05
4,6.61622638517656e-05,6.616223e-05,6.395132577381446e-05,6.395132e-05
5,6.147033540173651e-05,6.147032e-05,5.93100316109485e-05,5.931003e-05
6,5.689870412197706e-05,5.689872e-05,5.4812500866319167e-05,5.4812506e-05
7,5.244379817668232e-05,5.24438e-05,5.0389123180138996e-05,5.0389135e-05
8,4.811548050156489e-05,4.8115468e-05,4.618961120286258e-05,4.618961e-05
9,4.4111885574693585e-05,4.4111897e-05,4.235029186929751e-05,4.2350293e-05
10,4.037622619534886e-05,4.0376235e-05,3.8718980613339225e-05,3.8718976e-05
11,3.695336556575057e-05,3.6953345e-05,3.549473940438475e-05,3.5494744e-05
12,3.391591111494563e-05,3.3915905e-05,3.26321353441017e-05,3.263214e-05
13,3.124506764606849e-05,3.1245083e-05,3.012201864294184e-05,3.012202e-05
14,2.8897529796267916e-05,2.8897532e-05,2.7937055369875453e-05,2.7937054e-05
15,2.6854065981751774e-05,2.6854064e-05,2.6064578241857818e-05,2.606458e-05
16,2.5189058430896693e-05,2.5189067e-05,2.4578476472925104e-05,2.4578478e-05
17,2.3882345158199313e-05,2.3882349e-05,2.3438687458110506e-05,2.3438695e-05
18,2.2889689961402838e-05,2.2889679e-05,2.2600145985052223e-05,2.2600148e-05
19,2.217439172227387e-05,2.217439e-05,2.199615696554247e-05,2.199616e-05
20,2.1670886985702965e-05,2.1670887e-05,2.1575443452093167e-05,2.157545e-05
21,2.1323556870811446e-05,2.1323553e-05,2.1298386809576186e-05,2.1298385e-05
22,2.1085367268369738e-05,2.108537e-05,2.108572061843006e-05,2.1085718e-05
23,2.0915853332326152e-05,2.0915862e-05,2.0946470499438874e-05,2.094647e-05
24,2.0793459123069623e-05,2.0793465e-05,2.085569512928487e-05,2.0855692e-05
25,2.0698085882031593e-05,2.0698082e-05,2.076049706829508e-05,2.0760497e-05
26,2.0627311118914805e-05,2.062731e-05,2.070150562758499e-05,2.0701505e-05
27,2.0562148722547136e-05,2.056215e-05,2.0633910958167688e-05,2.0633915e-05
28,2.0500798109424066e-05,2.050079e-05,2.0568714580804227e-05,2.0568717e-05
29,2.044485628402981e-05,2.0444859e-05,2.0517487655524747e-05,2.0517486e-05
30,2.0397389488380212e-05,2.0397403e-05,2.0479980116760997e-05,2.0479985e-05
31,2.0347581937585346e-05,2.0347587e-05,2.04275946771304e-05,2.0427593e-05
32,2.0303413782585268e-05,2.0303409e-05,2.0410925299074733e-05,2.041093e-05
33,2.0261521689235452e-05,2.0261523e-05,2.032553102253587e-05,2.032553e-05
34,2.0217020073687307e-05,2.0217027e-05,2.029620734447235e-05,2.0296206e-05
35,2.0171119075484967e-05,2.0171115e-05,2.0239107357156172e-05,2.0239106e-05
36,2.0133400880695262e-05,2.0133395e-05,2.020182355408906e-05,2.0201824e-05
37,2.0096606544939277e-05,2.0096608e-05,2.016411872318713e-05,2.0164121e-05
38,2.0054282873616103e-05,2.005429e-05,2.0129021459069917e-05,2.0129026e-05
39,2.0013146206565578e-05,2.0013149e-05,2.0087984444217e-05,2.0087988e-05
40,1.9976087094164542e-05,1.997608e-05,2.0064820250809135e-05,2.0064816e-05
41,1.9938470427405263e-05,1.9938465e-05,2.0030049654451432e-05,2.003005e-05
42,1.9906848854134297e-05,1.9906845e-05,1.998765897042176e-05,1.9987661e-05
43,1.986574713441769e-05,1.9865749e-05,1.9960426743637073e-05,1.9960424e-05
44,1.983348925023165e-05,1.9833491e-05,1.9913819642169983e-05,1.9913825e-05
45,1.9797549367694955e-05,1.9797548e-05,1.988524488751864e-05,1.9885243e-05
46,1.9767003971082885e-05,1.9767009e-05,1.9862958038174838e-05,1.9862955e-05
47,1.973567929098863e-05,1.9735684e-05,1.9804949874924205e-05,1.9804953e-05
48,1.9704181477209203e-05,1.970419e-05,1.9787456540143467e-05,1.9787458e-05
49,1.9669677078582028e-05,1.9669678e-05,1.9771529673562326e-05,1.9771525e-05
50,1.9641728630404032e-05,1.964173e-05,1.9723196623999682e-05,1.9723198e-05
51,1.9606673600947033e-05,1.960667e-05,1.9715081998583627e-05,1.9715086e-05
52,1.9584870125299857e-05,1.9584872e-05,1.9682203765114535e-05,1.96822e-05
53,1.956078314719889e-05,1.9560784e-05,1.9683942196024872e-05,1.9683941e-05
54,1.952851931719124e-05,1.9528527e-05,1.9600543009801185e-05,1.9600544e-05
55,1.950725537085418e-05,1.9507257e-05,1.9594015248003417e-05,1.959401e-05
56,1.9478418369089923e-05,1.9478419e-05,1.958622988240677e-05,1.9586238e-05
57,1.9457424650681786e-05,1.9457426e-05,1.955822349373193e-05,1.9558222e-05
58,1.943441430398707e-05,1.9434407e-05,1.9537763637345052e-05,1.9537765e-05
59,1.94116588943416e-05,1.9411647e-05,1.950057971953356e-05,1.9500576e-05
60,1.938885436629789e-05,1.9388866e-05,1.948311094110977e-05,1.9483108e-05
61,1.936475392767534e-05,1.9364748e-05,1.9444316831140895e-05,1.9444316e-05
62,1.934275562689436e-05,1.9342753e-05,1.943684894740727e-05,1.9436846e-05
63,1.9328525536366214e-05,1.932853e-05,1.9428007362876087e-05,1.9428006e-05
64,1.9302704100709888e-05,1.9302697e-05,1.938711302500451e-05,1.9387116e-05
65,1.928380110598482e-05,1.9283792e-05,1.937197837378335e-05,1.937198e-05
66,1.926321734799785e-05,1.9263212e-05,1.933898281549773e-05,1.9338982e-05
67,1.9243863846440945e-05,1.9243867e-05,1.93269552255515e-05,1.9326957e-05
68,1.922903322224556e-05,1.9229035e-05,1.9334659396008646e-05,1.9334659e-05
69,1.920813002129762e-05,1.920813e-05,1.9289466968075432e-05,1.9289468e-05
70,1.9195264536620015e-05,1.919528e-05,1.927954185703129e-05,1.9279541e-05
71,1.9176175277380027e-05,1.917618e-05,1.9263049330220384e-05,1.926305e-05
72,1.915774618055366e-05,1.9157742e-05,1.9245470843998193e-05,1.9245468e-05
73,1.9143885930361647e-05,1.9143894e-05,1.928500373651332e-05,1.9285004e-05
74,1.9133103882040815e-05,1.9133095e-05,1.9218684951738396e-05,1.9218682e-05
75,1.910855853566318e-05,1.9108547e-05,1.9188043324902537e-05,1.9188043e-05
76,1.910246681973149e-05,1.9102466e-05,1.917925105772156e-05,1.9179253e-05
77,1.908327497517348e-05,1.9083276e-05,1.918563750678004e-05,1.918564e-05
78,1.907226252342298e-05,1.907226e-05,1.916426565458096e-05,1.9164267e-05
79,1.9055861275774078e-05,1.905586e-05,1.9170221889908134e-05,1.9170218e-05
80,1.904206869767222e-05,1.9042069e-05,1.9133943146698586e-05,1.9133939e-05
81,1.9003362717739945e-05,1.9003357e-05,1.909886673274741e-05,1.9098861e-05
82,1.899687281365914e-05,1.8996881e-05,1.9087056421085437e-05,1.908706e-05
83,1.898977962468962e-05,1.8989778e-05,1.909080883706338e-05,1.9090812e-05
84,1.898414095080625e-05,1.8984136e-05,1.909168881866208e-05,1.9091694e-05
85,1.897709017271154e-05,1.8977076e-05,1.9069310269514972e-05,1.9069308e-05
86,1.8969993686823727e-05,1.8969995e-05,1.906981083266146e-05,1.906981e-05
87,1.8961584277121802e-05,1.8961582e-05,1.9058736188526382e-05,1.9058738e-05
88,1.895577756840794e-05,1.8955783e-05,1.9067765583713482e-05,1.9067764e-05
89,1.8948322127698704e-05,1.8948323e-05,1.905239168991102e-05,1.9052392e-05
